	extraversion_mean	neuroticism_mean	agreeableness_mean	conscientiousness_mean	openness_mean	extraversion_mean_rank	neuroticism_mean_rank	agreeableness_mean_rank	conscientiousness_mean_rank	openness_mean_rank	extraversion_mean_perc	neuroticism_mean_perc	agreeableness_mean_perc	conscientiousness_mean_perc	openness_mean_perc
0	4.6	2.4	3.9	3.2	4.5	2129	5396	7101	961	7855	21.282128212821284	53.955395539553955	71.007100710071	9.6009600960096	78.54785478547855
1	2.0	2.5	4.4	3.7	3.5	3260	8524	2879	6186	6461	32.59325932593259	85.23852385238524	28.782878287828783	61.85618561856185	64.60646064606462
2	2.5	2.6	4.2	3.4	4.1	5771	4914	5411	3694	5411	57.705770577057706	49.13491349134914	54.10541054105411	36.933693369336936	54.10541054105411
3	2.6	2.9	3.8	2.5	3.9	6087	3114	9587	8811	379	60.866086608660865	31.133113311331133	95.86958695869588	88.1088108810881	3.7803780378037803
4	2.9	1.9	4.6	4.8	4.8	7127	6309	1627	2193	9962	71.26712671267127	63.08630863086309	16.26162616261626	21.922192219221923	99.61996199619962
5	3.2	2.2	3.8	3.7	4.4	534	7653	7855	9957	7419	5.330533053305331	76.52765276527653	78.54785478547855	99.56995699569957	74.18741874187418
6	3.5	3.0	4.1	3.3	4.3	2531	9014	335	4363	4791	25.302530253025303	90.13901390139014	3.34033403340334	43.62436243624362	47.904790479047904
7	4.2	1.6	3.8	4.5	4.3	8272	6447	2845	6195	5346	82.71827182718272	64.46644664466447	28.442844284428443	61.94619461946195	53.45534553455346
8	3.2	3.0	4.5	3.1	4.5	5819	1850	3142	8727	5396	58.185818581858186	18.49184918491849	31.413141314131416	87.26872687268727	53.955395539553955
9	2.2	3.1	1.9	1.7	3.5	9736	4661	5772	2277	6514	97.35973597359737	46.6046604660466	57.71577157715772	22.762276227622763	65.13651365136514
10	2.9	3.9	3.7	2.4	5.0	1939	6698	3494	9556	6308	19.38193819381938	66.97669766976698	34.93349334933493	95.55955595559556	63.076307630763075
11	4.0	4.6	3.9	3.6	4.3	3251	6714	961	3414	2611	32.503250325032504	67.13671367136713	9.6009600960096	34.13341334133413	26.102610261026104
12	4.4	2.4	4.8	2.2	4.9	84	3353	5125	2819	8453	0.83008300830083	33.523352335233525	51.24512451245125	28.182818281828183	84.52845284528453
13	1.0	4.4	2.6	3.9	4.2	3588	3367	9543	5757	4499	35.873587358735875	33.663366336633665	95.42954295429543	57.565756575657566	44.984498449844985
14	1.6	4.0	4.4	3.3	4.0	5028	9596	3403	1004	3330	50.27502750275028	95.95959595959596	34.02340234023402	10.03100310031003	33.29332933293329
15	3.1	3.7	3.4	3.5	4.2	580	9269	2318	4859	6361	5.7905790579057905	92.68926892689268	23.17231723172317	48.584858485848585	63.606360636063606
16	2.0	3.7	3.4	2.8	3.8	3580	8035	6407	5189	5021	35.7935793579358	80.34803480348035	64.06640664066407	51.88518851885189	50.2050205020502
17	4.1	2.0	4.1	2.9	2.8	4267	4475	3123	9962	961	42.66426642664267	44.744474447444745	31.223122312231222	99.61996199619962	9.6009600960096
18	4.0	2.1	4.9	2.3	3.7	2882	9055	7346	2845	9898	28.81288128812881	90.54905490549055	73.45734573457345	28.442844284428443	98.97989798979899
19	4.4	4.2	3.7	4.5	3.0	4515	3484	6391	3320	1169	45.14451445144515	34.83348334833483	63.9063906390639	33.19331933193319	11.681168116811682
20	2.5	4.2	3.5	3.7	3.4	1603	1021	3449	6491	8612	16.021602160216023	10.201020102010201	34.483448344834486	64.9064906490649	86.11861186118612
21	2.9	3.4	3.6	2.9	2.3	3804	7293	5935	7855	9571	38.033803380338036	72.92729272927293	59.34593459345935	78.54785478547855	95.7095709570957
22	1.9	2.4	4.3	3.8	3.1	5772	2105	5162	3720	4487	57.71577157715772	21.04210421042104	51.615161516151616	37.19371937193719	44.86448644864486
